timestamp,machine_status,is_anomaly,sensor_00,sensor_04,sensor_06,sensor_11,sensor_12
2018-04-01 00:00:00,NORMAL,0,2.465394,634.375,13.41146,47.52422,31.11716
2018-04-01 00:10:00,NORMAL,0,2.46441,637.7314,13.41146,50.48941,32.80076
2018-04-01 00:20:00,NORMAL,0,2.445718,633.4491,13.34635,51.53938,36.60661
2018-04-01 00:30:00,NORMAL,0,2.463426,618.75,13.23061,54.46946,37.06275
2018-04-01 00:40:00,NORMAL,0,2.449653,637.9630000000001,13.34635,53.20928000000001,41.04445
2018-04-01 00:50:00,NORMAL,0,2.456539,630.4398,13.317420000000002,49.45886,39.22474
2018-04-01 01:00:00,NORMAL,0,2.453588,626.6204,13.49826,53.08691,34.375890000000005
2018-04-01 01:10:00,NORMAL,0,2.449653,633.2176,13.4838,54.04968,36.47318
2018-04-01 01:20:00,NORMAL,0,2.459491,642.2454,13.614,53.39126,39.04633
2018-04-01 01:30:00,NORMAL,0,2.445718,624.3055,13.614,51.49073,40.31643
2018-04-01 01:40:00,NORMAL,0,2.46441,637.7314,13.614,50.85778,37.33388
2018-04-01 01:50:00,NORMAL,0,2.448669,634.9537,13.68634,51.68575,35.81123
2018-04-01 02:00:00,NORMAL,0,2.441782,629.9768,13.68634,55.80996,36.59661
2018-04-01 02:10:00,NORMAL,0,2.444734,632.2916,13.55613,55.154430000000005,38.93544
2018-04-01 02:20:00,NORMAL,0,2.46441,633.3333,13.55613,51.01491,37.24313
2018-04-01 02:30:00,NORMAL,0,2.444734,635.9954,13.59954,49.47638,36.44622
2018-04-01 02:40:00,NORMAL,0,2.456539,628.9352,13.70804,50.47207,35.35775
2018-04-01 02:50:00,NORMAL,0,2.45162,636.5740000000001,13.59954,49.17541,35.34857
2018-04-01 03:00:00,NORMAL,0,2.463426,634.375,13.59954,55.83746,33.14716
2018-04-01 03:10:00,NORMAL,0,2.463426,632.6389,13.5923,52.69447,40.17536
2018-04-01 03:20:00,NORMAL,0,2.445718,628.3564,13.55613,51.97681,37.86073
2018-04-01 03:30:00,NORMAL,0,2.466377,631.1343,13.65017,56.26515,38.83452
2018-04-01 03:40:00,NORMAL,0,2.445718,637.2685,13.64294,58.25994,39.08197
2018-04-01 03:50:00,NORMAL,0,2.468345,640.5093,13.5923,52.843990000000005,40.15038
2018-04-01 04:00:00,NORMAL,0,2.459491,646.0648,13.67911,55.97541,37.768440000000005
2018-04-01 04:10:00,NORMAL,0,2.460474,634.375,13.53443,51.5386,38.89008
2018-04-01 04:20:00,NORMAL,0,2.449653,640.9722,13.5923,58.61281999999999,36.62927
2018-04-01 04:30:00,NORMAL,0,2.45162,626.6204,13.5272,55.37831,42.84422
2018-04-01 04:40:00,NORMAL,0,2.455556,639.2361,13.56337,53.24746999999999,39.33014
2018-04-01 04:50:00,NORMAL,0,2.449653,623.2639,13.59954,54.05181999999999,37.04409
2018-04-01 05:00:00,NORMAL,0,2.445718,645.0231,13.5923,53.03992,38.7267
2018-04-01 05:10:00,NORMAL,0,2.444734,618.75,13.70804,51.24684,37.45945
2018-04-01 05:20:00,NORMAL,0,2.466377,636.4583,13.53443,53.4834,37.03416
2018-04-01 05:30:00,NORMAL,0,2.444734,630.3241,13.5923,53.58568,33.066309999999994
2018-04-01 05:40:00,NORMAL,0,2.460474,632.0602,13.5923,50.26426,35.47805
2018-04-01 05:50:00,NORMAL,0,2.449653,634.375,13.5055,47.79079,35.20082
2018-04-01 06:00:00,NORMAL,0,2.448669,639.4676,13.46933,49.54679,34.23746
2018-04-01 06:10:00,NORMAL,0,2.45162,622.4537,13.628470000000002,53.02616,31.18463
2018-04-01 06:20:00,NORMAL,0,2.449653,637.0369999999999,13.64294,50.94529,36.97285
2018-04-01 06:30:00,NORMAL,0,2.458507,630.0925,13.5923,50.4689,35.63433
2018-04-01 06:40:00,NORMAL,0,2.445718,632.4074,13.55613,52.54555,36.23346
2018-04-01 06:50:00,NORMAL,0,2.46441,635.3009,13.49826,56.2824,36.72478
2018-04-01 07:00:00,NORMAL,0,2.466377,631.0186,13.628470000000002,54.03982,38.27786
2018-04-01 07:10:00,NORMAL,0,2.46441,641.3195,13.46933,52.46078000000001,36.80182
2018-04-01 07:20:00,NORMAL,0,2.444734,626.9676,13.5923,50.69404,36.30867
2018-04-01 07:30:00,NORMAL,0,2.460474,639.5834,13.70804,52.77313,37.0516
2018-04-01 07:40:00,NORMAL,0,2.445718,634.7222,13.614,52.589780000000005,35.19352
2018-04-01 07:50:00,NORMAL,0,2.456539,638.3102,13.68634,52.33184,37.07781
2018-04-01 08:00:00,NORMAL,0,2.45162,632.6389,13.41146,53.7479,36.69493
2018-04-01 08:10:00,NORMAL,0,2.449653,634.1435,13.317420000000002,53.344280000000005,36.57773
2018-04-01 08:20:00,NORMAL,0,2.460474,643.1713,13.38252,50.71146,37.31716
2018-04-01 08:30:00,NORMAL,0,2.444734,632.5232,13.447629999999998,50.09027,36.30554
2018-04-01 08:40:00,NORMAL,0,2.466377,621.4119999999999,13.34635,50.34613,34.48595
2018-04-01 08:50:00,NORMAL,0,2.445718,629.9769,13.317420000000002,53.41587,36.48103
2018-04-01 09:00:00,NORMAL,0,2.445718,631.4814,13.25231,53.06762,36.18348
2018-04-01 09:10:00,NORMAL,0,2.445718,627.7778,13.41869,52.742630000000005,36.61895
2018-04-01 09:20:00,NORMAL,0,2.463426,631.0186,13.288479999999998,52.507740000000005,34.27315
2018-04-01 09:30:00,NORMAL,0,2.445718,638.3102,13.288479999999998,54.29003,37.98043
2018-04-01 09:40:00,NORMAL,0,2.456539,637.3843,13.38252,52.9187,37.60229
2018-04-01 09:50:00,NORMAL,0,2.453588,638.5416,13.317420000000002,52.928340000000006,37.24968
2018-04-01 10:00:00,NORMAL,0,2.460474,629.1666,13.288479999999998,50.21131,35.64711
2018-04-01 10:10:00,NORMAL,0,2.4614580000000004,634.7222,13.317420000000002,55.91901,35.30249
2018-04-01 10:20:00,NORMAL,0,2.448669,638.7732,13.317420000000002,50.8361,36.88883
2018-04-01 10:30:00,NORMAL,0,2.46441,650.3472,13.41146,49.29667,37.09838
2018-04-01 10:40:00,NORMAL,0,2.441782,629.0509,13.34635,51.03482,35.60555
2018-04-01 10:50:00,NORMAL,0,2.466377,644.4445,13.34635,51.11806,37.50213
2018-04-01 11:00:00,NORMAL,0,2.456539,632.0602,13.288479999999998,54.89822,34.42329
2018-04-01 11:10:00,NORMAL,0,2.463426,635.5323,13.25231,49.29254,39.22104
2018-04-01 11:20:00,NORMAL,0,2.448669,629.0509,13.38252,49.5419,33.86647
2018-04-01 11:30:00,NORMAL,0,2.45162,634.7222,13.41146,52.43008,34.44945
2018-04-01 11:40:00,NORMAL,0,2.456539,638.6574,13.288479999999998,49.34142,37.159
2018-04-01 11:50:00,NORMAL,0,2.446702,639.0046,13.43316,47.63226,34.41829
2018-04-01 12:00:00,NORMAL,0,2.450637,635.1852,13.38252,48.95446,34.8233
2018-04-01 12:10:00,NORMAL,0,2.448669,631.7130000000001,13.38252,46.46679,35.57972
2018-04-01 12:20:00,NORMAL,0,2.466377,635.3009,13.38252,48.71732,32.68762
2018-04-01 12:30:00,NORMAL,0,2.441782,638.7731,13.25231,51.12143,33.19938
2018-04-01 12:40:00,NORMAL,0,2.463426,637.3843,13.34635,49.37777,36.24735
2018-04-01 12:50:00,NORMAL,0,2.445718,642.5925,13.38976,49.68881,36.66525
